ID,Ed1,Ed2,Ed3,Gen1,Gen2
0,1,1,0,1,0
1,0,0,0,1,0
2,1,0,1,0,1
3,1,0,1,0,1
4,1,0,1,0,1
5,1,1,0,0,1
6,1,0,1,0,1
7,1,1,1,0,1
8,0,0,0,0,1
9,0,0,0,0,1
10,0,1,1,0,1
11,0,0,0,1,0
12,0,0,1,1,0
13,1,0,1,0,1
14,1,0,1,0,1
15,0,1,0,1,0
16,1,0,1,1,0
17,1,0,1,0,1
18,1,1,1,1,0
19,1,0,1,0,1
20,1,0,1,0,1
21,0,0,0,1,0
22,1,0,1,0,1
23,0,0,1,1,0
24,0,1,1,0,1
25,1,0,1,0,1
26,0,0,0,0,1
27,1,0,1,0,1
28,0,0,0,1,0
29,1,0,1,1,0
30,0,0,0,1,0
31,1,0,1,0,1
32,0,0,0,1,0
33,1,0,1,0,1
34,1,0,1,0,1
35,0,0,1,0,1
36,1,1,1,1,0
37,1,0,1,1,0
38,1,0,1,0,1
39,0,0,0,0,1
40,1,1,1,0,1
41,0,0,0,0,1
42,1,0,1,0,1
43,1,1,1,1,0
44,1,0,1,0,1
45,1,0,1,1,0
46,0,0,1,0,1
47,1,1,1,1,0
48,0,1,1,1,0
49,1,0,1,1,0
50,1,0,0,0,1
51,0,0,0,1,0
52,1,1,1,1,0
53,0,0,0,1,0
54,0,0,0,0,1
55,1,0,1,0,1
56,1,1,1,1,0
57,1,1,0,0,1
58,1,1,1,0,1
59,1,1,1,1,0
60,1,0,0,1,0
61,1,0,0,1,0
62,1,0,0,1,0
63,1,0,0,0,1
64,1,0,1,0,1
65,1,0,1,0,1
66,1,0,1,1,0
67,1,0,1,0,1
68,1,0,1,1,0
69,1,0,1,0,1
70,1,0,1,0,1
71,1,1,0,0,1
72,1,0,1,0,1
73,0,1,1,0,1
74,1,0,0,0,1
75,1,0,0,0,1
76,1,0,0,0,1
77,1,0,1,0,0
78,0,0,0,1,0
79,1,0,0,0,1
80,1,1,1,1,0
81,1,1,1,1,0
82,1,0,1,0,1
83,1,0,1,1,0
84,1,0,1,1,0
85,1,0,1,0,1
86,0,0,0,1,0
87,1,0,1,0,1
88,0,0,0,1,0
89,0,0,0,0,1
90,0,0,0,1,0
91,0,1,1,0,1
92,1,1,0,0,1
93,1,0,1,0,1
94,1,1,1,1,0
95,1,0,1,0,1
96,0,0,0,1,0
97,0,0,0,0,1
98,0,0,0,0,1
99,0,0,0,1,0
100,1,1,1,0,1
101,1,1,0,0,1
102,1,0,1,0,1
103,1,0,1,0,1
104,1,0,1,1,0
105,1,0,1,0,1
106,0,0,0,0,1
107,1,1,0,0,1
108,1,0,1,0,1
109,1,0,1,0,1
110,0,0,0,1,0
111,0,0,1,1,0
112,0,0,0,0,1
113,1,0,1,0,1
114,1,0,1,1,0
115,1,0,1,0,1
116,1,0,1,1,0
117,1,0,0,1,0
118,1,0,1,0,1
119,1,1,1,0,1
