ID,Ed1,Ed2,Ed3,Gen1,Gen2
1,0,0,0,1,0
2,1,0,1,0,1
3,1,0,1,0,1
4,1,0,1,0,1
5,1,1,0,0,1
6,1,0,1,0,1
7,1,1,1,0,1
8,0,0,0,0,1
9,0,0,0,0,1
10,0,1,1,0,1
11,0,0,0,1,0
12,0,0,1,1,0
13,1,0,1,0,1
14,1,0,1,0,1
15,0,1,0,1,0
16,1,0,1,1,0
17,1,0,1,0,1
18,1,1,1,1,0
19,1,0,1,0,1
20,1,0,1,0,1
21,0,0,0,1,0
22,1,0,1,0,1
23,0,0,1,1,0
24,0,1,1,0,1
25,1,0,1,0,1
26,0,0,0,0,1
27,1,0,1,0,1
28,0,0,0,1,0
29,1,0,1,1,0
30,0,0,0,1,0
31,1,0,1,0,1
32,0,0,0,1,0
33,1,0,1,0,1
34,1,0,1,0,1
35,0,0,1,0,1
36,1,1,1,1,0
37,1,0,1,1,0
38,1,0,1,0,1
39,0,0,0,0,1
40,1,1,1,0,1
41,0,0,0,0,1
42,1,0,1,0,1
43,1,1,1,1,0
44,1,0,1,0,1
45,1,0,1,1,0
46,0,0,1,0,1
47,1,1,1,1,0
48,0,1,1,1,0
49,1,0,1,1,0
50,1,0,0,0,1
51,0,0,0,1,0
52,1,1,1,1,0
53,0,0,0,1,0
54,0,0,0,0,1
55,1,0,1,0,1
56,1,1,1,1,0
57,1,1,0,0,1
58,1,1,1,0,1
59,1,1,1,1,0
60,1,0,0,1,0
61,1,0,0,1,0
62,1,0,0,1,0
63,1,0,0,0,1
64,1,0,1,0,1
65,1,0,1,0,1
66,1,0,1,1,0
67,1,0,1,0,1
68,1,0,1,1,0
69,1,0,1,0,1
70,1,0,1,0,1
71,1,1,0,0,1
72,1,0,1,0,1
73,0,1,1,0,1
74,1,0,0,0,1
75,1,0,0,0,1
76,1,0,0,0,1
77,1,0,1,0,0
78,0,0,0,1,0
79,1,0,0,0,1
80,1,1,1,1,0
81,1,1,1,1,0
82,1,0,1,0,1
83,1,0,1,1,0
84,1,0,1,1,0
85,1,0,1,0,1
86,0,0,0,1,0
87,1,0,1,0,1
88,0,0,0,1,0
89,0,0,0,0,1
90,0,0,0,1,0
91,0,1,1,0,1
92,1,1,0,0,1
93,1,0,1,0,1
94,1,1,1,1,0
95,1,0,1,0,1
96,0,0,0,1,0
97,0,0,0,0,1
98,0,0,0,0,1
99,0,0,0,1,0
100,1,1,1,0,1
101,1,1,0,0,1
102,1,0,1,0,1
103,1,0,1,0,1
104,1,0,1,1,0
105,1,0,1,0,1
106,0,0,0,0,1
107,1,1,0,0,1
108,1,0,1,0,1
109,1,0,1,0,1
110,0,0,0,1,0
111,0,0,1,1,0
112,0,0,0,0,1
113,1,0,1,0,1
114,1,0,1,1,0
115,1,0,1,0,1
116,1,0,1,1,0
117,1,0,0,1,0
118,1,0,1,0,1
119,1,1,1,0,1
120,1,0,1,0,1
121,1,0,1,0,1
122,1,0,0,1,0
123,1,0,1,0,1
124,1,0,1,0,1
125,0,0,0,0,1
126,1,0,1,1,0
127,1,1,1,0,1
128,1,0,1,1,0
129,1,0,1,1,0
130,0,0,0,0,1
131,0,0,0,1,0
132,1,0,1,0,1
133,1,0,1,1,0
134,1,0,0,0,1
135,1,1,1,1,0
136,0,0,0,0,1
137,1,0,1,0,1
138,0,1,0,0,1
139,1,0,1,0,1
140,0,0,1,1,0
141,1,0,1,0,1
142,1,0,0,1,0
143,1,0,1,0,1
144,0,0,1,1,0
145,0,0,1,0,1
146,0,1,0,0,1
147,1,0,1,1,0
148,1,0,1,0,0
149,1,0,1,1,0
150,1,1,1,1,0
151,0,0,0,0,1
152,1,1,1,0,1
153,1,0,1,0,1
154,0,0,0,1,0
155,1,0,1,1,0
156,1,0,1,0,1
157,1,1,1,0,1
158,1,0,0,0,1
159,1,0,1,0,1
160,1,1,1,0,1
161,1,0,1,0,1
162,0,0,1,1,0
163,0,1,0,0,1
164,0,0,0,0,1
165,1,0,0,0,1
166,0,0,0,0,1
167,1,1,1,1,0
168,1,0,0,0,1
169,1,0,1,0,1
170,1,0,1,0,1
171,1,1,1,0,1
172,1,0,1,0,1
173,1,0,1,0,1
174,0,0,0,0,1
175,0,0,1,0,1
176,1,0,1,0,1
177,1,0,1,1,0
178,1,0,1,1,0
179,1,0,1,1,0
180,1,1,1,0,1
181,0,0,0,0,1
182,1,1,0,1,0
183,1,0,1,1,0
184,0,0,0,0,1
185,0,0,0,0,1
186,0,0,0,1,0
187,0,1,0,0,1
188,1,0,1,0,1
189,0,0,0,0,1
190,0,0,0,1,0
191,0,0,0,0,1
192,1,0,1,0,1
193,0,0,1,0,1
194,1,1,1,1,0
195,0,0,0,0,0
196,1,1,0,0,1
197,1,1,1,0,1
198,1,1,1,1,0
199,1,0,1,0,1
200,1,0,1,0,1
201,1,0,1,0,0
202,0,1,1,0,1
203,1,0,1,1,0
204,1,1,0,0,1
205,1,0,1,1,0
206,1,1,1,0,1
207,1,0,1,1,0
208,1,1,1,0,1
209,1,0,1,0,1
210,1,0,1,1,0
211,1,0,1,0,1
212,1,0,1,0,1
213,1,1,1,1,0
214,0,0,1,0,1
215,0,1,0,0,1
216,0,0,0,0,1
217,0,0,0,1,0
218,1,0,0,0,1
219,1,0,1,0,1
220,1,0,1,0,1
221,1,0,1,0,1
222,1,0,1,1,0
223,1,0,0,1,0
224,1,0,1,0,1
225,1,0,1,0,1
226,1,0,1,0,1
227,1,0,1,1,0
228,0,0,0,1,0
229,1,0,1,1,0
230,0,0,0,0,1
231,0,0,0,1,0
232,1,0,1,0,1
233,1,1,1,1,0
234,1,0,1,1,0
235,0,0,0,1,0
236,1,0,0,1,0
237,1,0,1,0,0
238,0,0,0,0,1
239,1,0,1,1,0
240,1,1,0,1,0
241,0,0,0,0,1
242,0,0,0,0,1
243,0,0,0,1,0
244,0,0,0,0,1
245,0,1,0,1,0
246,0,0,0,1,0
247,1,1,1,0,1
248,1,0,1,0,1
249,1,1,1,0,1
250,1,0,1,1,0
251,0,0,0,1,0
252,1,1,1,1,0
253,1,0,0,1,0
254,1,1,0,0,1
255,1,1,1,0,1
256,1,1,1,1,0
257,1,0,1,1,0
258,1,0,1,0,1
259,0,0,0,0,1
260,0,0,0,0,1
261,1,1,1,0,1
262,0,0,0,0,1
263,1,1,1,0,1
264,0,0,0,1,0
265,1,0,1,0,1
266,1,1,0,0,1
267,0,0,1,0,1
268,1,0,0,0,1
269,1,1,1,1,0
270,0,0,0,1,0
271,1,0,1,0,1
272,1,1,1,0,0
273,1,1,1,1,0
274,1,0,1,0,1
275,0,0,0,0,1
276,1,0,1,0,1
277,0,0,0,0,1
278,0,0,1,1,0
279,1,0,1,1,0
280,0,0,0,0,1
281,1,0,1,0,1
282,1,0,0,0,1
283,1,1,1,0,1
284,0,0,0,0,1
285,1,0,1,0,1
286,0,0,0,0,1
287,0,0,0,1,0
288,1,0,1,0,1
289,1,0,1,0,1
290,1,0,1,0,1
291,1,1,1,0,1
292,0,0,0,1,0
293,1,0,1,0,1
294,0,0,0,0,1
295,1,0,1,0,1
296,1,0,1,1,0
297,1,0,1,0,1
298,1,0,0,1,0
299,1,1,0,0,1
300,1,0,1,1,0
301,1,0,1,1,0
302,1,1,0,1,0
303,0,0,0,1,0
304,0,0,0,1,0
305,0,0,0,0,1
306,0,0,0,0,1
307,1,1,0,0,1
308,1,0,1,0,1
309,1,1,0,1,0
310,0,0,0,1,0
311,0,0,0,0,1
312,0,0,0,0,1
313,1,0,1,0,1
314,1,0,1,0,1
315,0,0,0,1,0
316,0,0,0,1,0
317,1,1,0,0,1
318,1,0,1,0,1
319,1,0,1,1,0
320,1,1,1,0,1
321,0,0,0,0,1
322,0,0,0,1,0
323,1,1,1,0,1
324,0,0,0,0,1
325,0,0,0,0,1
326,1,0,1,0,1
327,0,0,0,1,0
328,1,0,1,0,1
329,0,0,0,0,1
330,1,1,1,1,0
331,1,1,0,0,1
332,1,0,1,0,1
333,0,0,1,1,0
334,1,0,1,1,0
335,1,1,1,0,1
336,1,1,1,1,0
337,0,0,0,1,0
338,1,0,1,1,0
339,1,1,1,0,1
340,1,0,1,1,0
341,1,0,1,1,0
342,1,0,1,0,1
343,0,0,0,0,1
344,1,0,1,0,1
345,1,0,0,1,0
346,1,1,1,0,1
347,1,0,0,0,1
