ID,Ed1,Ed2,Ed3,G1,G2
58,1,1,1,0,1
171,1,1,1,0,1
348,1,1,1,0,1
353,0,0,0,1,0
363,1,1,1,0,1
366,0,0,0,0,1
376,1,1,1,0,1
389,0,0,0,0,1
414,1,1,1,0,1
420,1,1,1,0,1
428,1,1,1,0,1
475,1,1,1,0,1
483,1,1,1,0,1
484,1,0,1,0,1
517,1,1,0,0,1
526,0,0,0,0,1
538,1,1,1,0,1
563,1,1,0,0,1
566,1,1,1,1,0
580,1,1,1,1,0
596,1,1,1,0,1
601,1,1,1,0,0
606,1,1,1,0,1
629,1,1,1,1,0
637,0,0,0,0,1
641,1,1,1,1,0
649,1,1,0,0,1
651,0,0,0,0,1
896,1,1,1,0,1
897,0,0,0,1,0
898,1,0,1,0,1
899,0,0,0,1,0
900,1,1,0,0,1
901,0,0,0,0,1
902,1,0,1,0,1
903,0,0,0,0,1
904,0,1,1,0,1
905,1,0,0,0,1
906,0,0,0,0,1
907,0,0,0,1,0
908,1,1,1,1,0
909,1,1,1,0,1
910,0,0,0,1,0
911,0,0,0,1,0
912,0,0,0,0,1
913,1,1,1,0,1
914,1,1,1,0,1
915,1,1,1,0,1
916,1,0,1,1,0
917,1,0,1,0,1
918,1,1,0,1,0
919,1,0,1,1,0
920,1,0,1,1,0
921,1,0,1,0,1
922,1,0,1,0,1
923,0,0,0,1,0
924,1,0,1,0,1
925,1,1,1,1,0
926,0,0,0,0,1
927,0,0,0,0,1
928,0,1,0,0,1
929,0,0,0,0,1
930,1,1,1,0,1
931,1,1,1,0,1
932,1,0,1,0,1
933,1,1,1,1,0
934,1,1,1,0,1
935,1,1,1,0,1
936,1,1,0,0,1
937,1,0,1,1,0
938,0,0,0,1,0
939,1,1,1,0,1
940,1,0,0,0,1
941,1,0,1,1,0
942,1,1,1,0,1
943,1,0,0,0,1
944,1,0,1,0,1
945,1,0,1,0,1
946,1,1,0,1,0
947,1,1,1,1,0
948,1,1,0,0,1
949,1,0,1,0,1
950,1,1,1,0,1
951,0,1,1,0,1
952,1,0,1,0,1
953,1,0,1,1,0
954,1,0,1,1,0
955,0,0,0,0,1
956,0,1,1,0,1
957,1,0,1,0,1
958,0,0,0,0,1
959,1,0,0,1,0
960,1,0,1,0,1
961,1,1,1,0,1
962,1,1,1,0,1
963,1,1,1,0,1
964,1,0,1,0,1
965,1,0,1,1,0
966,1,0,1,0,1
967,0,0,0,1,0
968,1,1,1,0,1
969,0,0,0,0,1
970,0,1,0,0,1
971,1,0,1,0,1
972,0,0,0,1,0
973,0,0,0,0,1
974,1,0,1,1,0
975,1,1,1,0,1
976,1,1,1,0,1
977,1,0,0,0,1
978,1,0,1,0,1
979,1,0,1,0,1
980,1,0,1,0,1
981,1,0,1,0,1
982,0,0,0,1,0
983,0,0,0,1,0
984,0,0,1,0,1
985,0,0,1,0,1
986,1,0,1,0,1
987,1,0,1,0,1
988,1,0,1,0,1
989,1,0,1,1,0
990,0,0,0,0,1
991,0,0,0,0,0
992,1,0,1,0,1
993,1,0,1,1,0
994,1,0,1,1,0
995,1,0,1,0,1
996,0,0,0,0,1
997,1,0,1,0,1
998,1,0,1,0,1
999,1,0,1,1,0
1000,0,0,1,1,0
1001,1,0,1,1,0
1002,0,0,0,1,0
1003,1,1,1,0,1
1004,1,0,1,1,0
1005,1,0,1,0,1
1006,0,1,1,0,1
1007,1,0,1,0,1
1008,1,0,1,0,1
1009,0,0,1,1,0
1010,0,0,0,0,1
1011,1,0,0,0,1
1012,0,0,0,1,0
1013,0,0,0,0,1
1014,1,1,1,0,1
1015,1,0,1,0,1
1016,1,1,1,0,1
1017,0,0,0,1,0
1018,1,0,1,1,0
1019,1,1,1,0,1
1020,1,1,1,0,1
1021,1,1,1,0,1
1022,1,1,1,0,1
1023,1,0,1,1,0
1024,0,0,0,1,0
1025,1,1,1,0,1
1026,1,0,1,0,1
1027,1,0,1,0,1
1028,1,0,0,1,0
1029,1,0,1,0,1
1030,1,1,1,0,1
1031,0,0,0,0,1
1032,1,0,1,0,1
1033,1,1,1,0,1
1034,0,0,0,1,0
1035,1,0,1,0,1
1036,1,0,1,1,0
1037,1,0,1,0,1
1038,0,0,0,1,0
1039,0,0,0,1,0
1040,1,0,1,1,0
1041,1,0,1,0,1
1042,0,0,0,0,1
1043,0,0,0,1,0
1044,1,0,1,0,1
1045,1,1,1,0,1
1046,1,0,1,1,0
1047,1,0,1,1,0
1048,1,0,1,0,1
1049,0,0,0,0,1
1050,1,0,0,0,1
1051,1,0,1,0,1
1052,1,0,1,0,1
1053,0,0,0,0,1
1054,1,1,1,0,1
1055,1,0,0,1,0
1056,1,0,1,1,0
1057,0,0,0,0,1
1058,0,0,0,0,1
1059,1,0,1,0,1
1060,1,1,1,1,0
1061,0,0,0,0,1
1062,1,0,1,0,1
1063,1,0,0,1,0
1064,1,1,1,0,1
1065,0,0,0,1,0
1066,1,0,1,0,1
1067,1,0,1,1,0
1068,0,0,0,0,1
1069,0,0,0,1,0
1070,1,0,1,0,1
1071,1,0,1,0,1
1072,1,0,0,0,0
1073,1,1,1,0,1
1074,1,0,1,0,1
1075,1,1,1,0,1
1076,1,1,1,1,0
1077,1,0,1,0,1
1078,1,0,1,0,1
1079,0,0,0,1,0
1080,0,0,0,0,0
1081,0,1,1,0,1
1082,1,0,1,0,1
1083,1,0,1,0,1
1084,1,1,0,0,1
1085,1,1,1,0,1
1086,1,0,1,0,1
