Id,E1,E2,E3,G1,G2
34,1,0,1,0,1
173,1,0,1,0,1
198,1,1,1,1,0
349,1,0,1,0,1
350,0,1,1,0,1
351,1,1,1,0,1
352,1,1,1,0,1
353,0,0,0,1,0
354,1,1,1,0,1
355,1,1,1,0,1
356,1,0,0,1,0
357,0,0,1,0,1
358,0,0,0,0,0
359,1,1,0,0,1
360,0,0,0,1,0
361,1,0,1,0,1
362,1,1,1,1,0
363,1,1,1,0,1
364,1,1,0,0,1
365,1,1,1,0,1
366,0,0,0,0,1
367,1,1,1,0,1
368,1,1,1,0,1
369,1,1,1,0,1
370,1,1,1,1,0
371,0,0,0,1,0
372,0,0,0,0,1
373,1,1,1,1,0
374,1,1,1,0,1
375,1,0,0,0,1
376,1,1,1,0,1
377,0,0,0,0,1
378,1,1,1,0,1
379,1,1,1,1,0
380,0,0,1,0,1
381,0,0,0,1,0
382,1,0,1,0,1
383,1,1,1,0,1
384,0,0,0,0,1
385,1,0,0,1,0
386,1,1,0,1,0
387,1,1,1,0,1
388,1,1,1,0,1
389,0,0,0,0,1
390,1,0,0,1,0
391,0,1,0,0,1
392,1,1,0,1,0
393,0,1,0,1,0
394,1,1,0,0,1
395,1,1,1,0,1
396,1,0,1,0,1
397,1,1,1,0,1
398,1,1,1,0,1
399,1,1,1,1,0
400,1,1,1,0,1
401,0,0,0,0,1
402,1,1,1,0,1
403,1,1,1,0,1
404,0,1,0,0,1
405,1,1,1,0,1
406,1,0,1,0,1
407,1,1,1,0,1
408,1,1,1,0,1
409,0,0,0,0,1
410,0,0,0,1,0
411,1,0,1,1,0
412,0,0,0,1,0
413,0,0,0,0,1
414,1,1,1,0,1
415,1,1,1,0,1
416,1,1,1,1,0
417,0,0,0,1,0
418,1,0,1,0,1
419,1,1,1,0,1
420,1,1,1,0,1
421,1,1,1,0,1
422,1,0,1,0,1
423,1,1,1,1,0
424,0,0,0,0,1
425,0,0,0,0,1
426,0,1,0,0,1
427,1,1,1,0,1
428,1,1,1,0,1
429,0,1,0,1,0
430,0,0,0,0,1
431,0,0,0,0,1
432,1,1,1,0,1
433,1,1,1,0,1
434,1,1,1,0,1
435,1,1,1,0,1
436,0,0,0,0,1
437,1,0,1,0,1
438,1,1,1,0,1
439,1,1,1,0,1
440,1,1,0,0,1
441,1,1,0,0,1
442,0,0,0,1,0
443,1,0,1,0,1
444,1,1,1,0,1
445,0,1,0,0,1
446,1,0,0,1,0
447,0,0,0,0,0
448,0,0,0,0,1
449,0,1,0,0,1
450,1,1,1,0,1
451,1,1,1,0,1
452,1,1,1,0,1
453,1,0,0,1,0
454,1,1,1,0,1
455,1,1,1,0,1
456,1,1,1,0,1
457,1,0,1,0,1
458,1,1,1,0,1
459,0,0,0,0,1
460,1,1,1,0,1
461,1,0,0,1,0
462,1,1,1,0,1
463,0,0,0,1,0
464,0,0,0,0,1
465,0,0,0,0,1
466,1,0,1,0,1
467,1,0,0,0,1
468,0,0,0,1,0
469,1,1,0,0,1
470,0,0,1,0,1
471,1,1,1,0,1
472,0,0,0,1,0
473,1,1,0,1,0
474,1,1,1,0,1
475,1,1,1,0,1
476,0,0,0,0,1
477,1,1,1,0,1
478,1,1,1,0,1
479,1,1,1,0,1
480,1,1,1,0,1
481,1,1,1,0,1
482,1,0,0,0,1
483,1,1,1,0,1
484,1,0,1,0,1
485,1,1,0,0,1
486,1,0,1,0,1
487,1,1,0,0,1
488,1,1,1,0,1
489,1,1,1,0,1
490,1,1,0,0,1
491,1,1,0,0,1
492,0,0,0,1,0
493,1,1,1,0,1
494,1,0,1,0,1
495,0,0,1,0,1
496,1,1,1,0,1
497,1,1,1,1,0
498,1,0,1,1,0
499,0,0,0,1,0
500,0,0,0,0,1
501,1,1,0,0,1
502,1,0,1,0,1
503,1,1,1,1,0
504,1,0,1,0,1
505,0,0,0,0,1
506,1,0,0,0,1
507,0,1,0,0,1
508,1,1,1,0,1
509,0,0,0,0,1
510,1,1,1,0,1
511,0,1,1,0,1
512,1,1,1,0,1
513,0,0,0,0,1
514,1,1,1,0,1
515,1,1,1,0,1
516,1,1,1,0,1
517,1,1,0,0,1
518,1,1,1,0,1
519,1,1,1,0,1
520,1,1,1,0,1
521,0,0,0,1,0
522,1,0,1,0,1
523,1,1,1,0,1
524,1,1,1,1,0
525,1,1,1,0,1
526,0,0,0,0,1
527,0,0,0,0,0
528,0,1,0,1,0
529,0,0,0,0,1
530,1,1,1,0,1
531,1,1,0,0,1
532,1,1,1,0,1
533,1,1,1,0,1
534,1,1,1,0,1
535,1,1,1,0,1
536,0,0,0,0,1
537,1,1,1,1,0
538,1,1,1,0,1
539,1,1,0,0,1
540,1,1,1,0,1
541,1,1,1,0,1
542,1,1,0,1,0
543,1,1,1,0,1
544,1,1,1,0,1
545,1,1,1,0,1
546,1,1,1,0,1
547,1,1,1,1,0
548,1,1,1,1,0
549,1,1,0,0,1
550,1,0,1,0,1
551,1,1,1,0,1
552,0,0,0,0,1
553,1,1,1,1,0
554,0,0,0,0,1
555,1,1,1,1,0
556,1,1,1,0,1
557,1,1,1,0,1
558,1,1,1,0,1
559,1,1,1,0,1
560,1,1,0,1,0
561,1,0,1,0,1
562,1,0,1,0,1
563,1,1,0,0,1
564,0,1,0,1,0
565,0,0,0,1,0
566,1,1,1,1,0
567,1,1,1,1,0
568,0,0,0,0,1
569,1,1,1,0,1
570,1,1,1,0,1
571,1,0,1,1,0
572,1,0,1,1,0
