Id,e1,e2,e3,g1,g2
687,1,0,1,0,1
688,1,0,1,0,1
689,1,1,0,1,0
690,1,0,1,0,1
691,0,0,0,1,0
692,0,1,1,0,1
693,0,0,0,1,0
694,0,0,0,0,1
695,1,0,1,0,1
696,0,0,0,0,1
697,1,0,0,1,0
698,0,0,0,0,1
699,0,1,0,0,1
700,0,0,0,0,1
701,0,0,1,0,1
702,0,1,0,1,0
703,0,0,1,1,0
704,0,0,0,1,0
705,1,0,1,1,0
706,1,0,0,0,1
707,1,1,1,1,0
708,0,0,0,0,1
709,1,0,1,1,0
710,0,0,1,1,0
711,0,0,0,1,0
712,0,0,0,0,1
713,1,1,1,1,0
714,1,0,0,1,0
715,1,1,0,0,1
716,0,0,0,1,0
717,1,0,0,1,0
718,1,1,1,1,0
719,1,0,1,1,0
720,0,0,1,1,0
721,0,0,0,0,1
722,1,0,0,0,1
723,1,0,1,0,1
724,0,0,0,0,1
725,0,0,0,0,1
726,1,0,1,0,1
727,0,0,0,0,1
728,1,0,1,1,0
729,0,0,0,0,1
730,1,0,1,0,1
731,1,0,1,0,1
732,0,1,1,1,0
733,1,1,1,0,0
734,0,0,0,0,0
735,1,0,0,0,1
736,1,1,1,0,0
737,1,0,0,1,0
738,1,0,0,0,1
739,0,0,0,1,0
740,1,0,1,1,0
741,1,1,1,1,0
742,0,0,0,1,0
743,1,0,0,1,0
744,1,0,0,0,1
745,1,0,1,1,0
746,0,1,0,1,0
747,1,0,1,0,1
748,0,1,1,0,1
749,1,1,1,1,0
750,1,0,0,0,1
751,0,0,0,1,0
752,1,0,1,0,1
753,0,0,0,1,0
754,1,0,1,1,0
755,1,1,1,1,0
756,0,0,0,1,0
757,0,1,1,1,0
758,0,0,0,0,0
759,1,0,1,1,0
760,1,1,0,0,1
761,0,0,0,0,1
762,0,0,0,0,1
763,0,0,0,0,1
764,1,0,1,1,0
765,1,0,1,1,0
766,1,0,1,0,1
767,0,0,0,0,1
768,0,0,0,1,0
769,1,0,1,0,1
770,0,0,0,1,0
771,0,0,0,0,1
772,0,0,0,1,0
773,0,0,0,0,1
774,1,0,1,0,1
775,1,0,0,0,1
776,1,1,0,0,1
777,0,0,0,0,1
778,1,1,1,1,0
779,0,0,0,1,0
780,1,1,0,1,0
781,0,0,1,1,0
782,0,0,0,1,0
783,0,0,0,1,0
784,0,0,0,0,0
785,0,1,0,0,1
786,1,0,1,1,0
787,0,0,1,1,0
788,1,1,1,1,0
789,0,1,0,1,0
790,0,0,1,1,0
791,0,0,0,1,0
792,0,1,1,1,0
793,0,0,0,1,0
794,0,0,0,1,0
795,0,0,0,1,0
796,0,1,1,0,1
797,1,0,1,0,1
798,0,0,0,1,0
799,1,0,0,1,0
800,0,0,0,1,0
801,0,0,0,1,0
802,1,0,1,0,1
803,0,0,0,0,1
804,1,0,1,0,1
805,0,0,0,1,0
806,0,0,0,0,1
807,1,0,1,1,0
808,1,0,0,1,0
809,0,1,1,1,0
810,0,0,0,0,1
811,1,0,1,1,0
812,0,0,0,0,0
813,1,1,1,1,0
814,0,0,0,1,0
815,0,0,0,1,0
816,0,0,0,0,1
817,0,0,0,1,0
818,1,0,1,0,1
819,0,0,0,1,0
820,1,0,1,1,0
821,1,0,1,1,0
822,1,0,1,1,0
823,0,0,0,1,0
824,0,0,0,1,0
825,1,1,1,0,1
826,1,0,1,1,0
827,0,0,0,1,0
828,1,0,1,1,0
829,1,1,1,0,1
830,0,0,0,0,0
831,1,0,1,0,1
832,1,0,1,0,1
833,0,0,0,0,1
834,1,0,1,0,1
835,0,0,0,1,0
836,0,0,0,1,0
837,0,0,0,1,0
838,1,1,1,1,0
839,1,1,1,0,1
840,0,0,0,0,1
841,0,0,0,0,0
842,0,0,0,1,0
843,0,0,0,1,0
844,0,0,0,1,0
845,0,0,0,1,0
846,1,0,1,0,1
847,0,0,0,0,1
848,0,0,0,1,0
849,1,0,1,0,1
850,0,0,0,0,1
851,1,0,1,1,0
852,0,0,0,1,0
853,0,0,1,1,0
854,1,0,0,1,0
855,0,0,0,1,0
856,1,1,1,0,1
