,e1,e2,e3,g1,g2
810,0,0,0,0,1
857,0,0,0,0,1
811,1,0,1,1,0
858,0,0,0,0,1
859,1,1,1,0,1
860,1,1,1,0,1
769,1,0,1,0,1
861,1,1,1,1,0
840,0,0,0,0,1
862,1,1,1,0,1
863,1,0,1,0,1
729,0,0,0,0,1
864,0,0,0,0,1
865,1,0,0,0,1
866,0,0,0,0,1
867,1,1,0,1,0
697,1,0,0,1,0
868,0,1,0,0,1
869,0,0,0,0,1
708,0,0,0,0,1
776,1,1,0,0,1
870,1,0,1,0,1
819,0,0,0,1,0
871,1,0,0,1,0
872,0,0,0,1,0
703,0,0,1,1,0
873,0,1,1,0,1
800,0,0,0,1,0
874,0,1,1,0,1
828,1,0,1,1,0
875,0,0,0,0,0
830,0,0,0,0,0
876,1,0,0,0,1
713,1,1,1,1,0
745,1,0,1,1,0
747,1,0,1,0,1
877,1,1,1,0,1
878,0,0,0,0,1
879,0,0,0,0,1
880,0,0,0,1,0
881,1,0,1,0,1
882,0,0,0,1,0
883,0,0,0,0,1
884,1,0,1,1,0
798,0,0,0,1,0
885,0,1,1,1,0
753,0,0,0,1,0
823,0,0,0,1,0
886,0,0,0,1,0
887,0,0,0,0,1
888,1,1,1,0,1
772,0,0,0,1,0
719,1,0,1,1,0
889,0,0,0,0,1
890,1,0,1,1,0
774,1,0,1,0,1
825,1,1,1,0,1
891,0,0,0,0,1
892,0,0,0,0,1
803,0,0,0,0,1
893,1,1,0,0,1
804,1,0,1,0,1
894,0,0,0,0,1
805,0,0,0,1,0
895,1,0,1,0,1
856,1,1,1,0,1
